C1-S1-D1,C1-S1-D2,C1-S2-D1,C1-S2-D2,C2-S1-D1,C2-S1-D2,C2-S2-D1,C2-S2-D2
4008,374,76,5032,105,4055,1182,139
3956,376,77,5036,106,4078,1156,138
3989,374,76,5026,104,4028,1173,139
3946,373,77,4994,105,4083,1168,141
3919,380,77,5054,105,4025,1190,142
4016,374,77,5023,107,4079,1190,141
3924,375,77,5070,104,4055,1178,141
3953,371,76,5038,105,4083,1186,140
3957,377,77,4999,104,4031,1183,138
3970,373,76,5039,104,4085,1165,140
3943,378,77,5022,107,4063,1152,138
4018,373,77,5019,105,4104,1177,141
3969,378,76,5038,108,4131,1171,138
3946,374,77,5042,104,4061,1166,138
3973,370,76,5022,106,4127,1173,141
3963,376,77,5033,104,4096,1176,138
3953,376,77,5073,104,4081,1198,140
3986,377,75,5050,105,4050,1159,139
4023,373,76,5021,105,4088,1165,135
3927,373,77,5040,106,4027,1189,141
3994,375,77,4998,107,4058,1192,140
4012,377,77,5030,107,4098,1175,141
3979,375,76,5064,105,4064,1195,141
3996,376,76,5067,106,4067,1202,140
3970,371,77,5047,107,4096,1186,141
3972,381,77,5044,107,4069,1201,139
4002,377,77,5064,107,4134,1213,139
3949,376,77,5046,105,4130,1204,142
3976,375,76,4995,105,4078,1201,142
4016,376,76,5056,106,4075,1214,141
3969,376,76,5054,105,4104,1194,143
4030,372,76,5007,104,4072,1193,142
3987,373,77,5069,106,4064,1178,141
3975,372,76,5070,104,4051,1197,142
4064,372,77,5031,104,4023,1205,143
3983,377,76,5058,104,4024,1205,140
4029,378,76,5024,106,4083,1212,141
3972,375,77,4996,105,4077,1217,140
3955,373,76,5044,107,4049,1214,138
4029,377,76,5043,105,4116,1212,140
3982,374,77,5004,104,4041,1209,141
3962,374,77,5000,106,4081,1220,143
4018,369,76,5053,104,4014,1205,143
3984,375,77,5052,107,4028,1213,143
4039,368,76,5051,105,4121,1191,143
4001,376,76,4994,105,4128,1211,142
4036,375,76,5040,105,4112,1196,139
3939,374,76,5066,106,4112,1175,142
4021,375,76,5025,105,4049,1205,141
3960,372,76,5024,105,4085,1196,139
3992,373,77,5041,106,4062,1192,141
3939,375,76,5023,106,4090,1176,143
3969,375,76,5021,107,4087,1191,140
4067,377,77,5043,109,4031,1216,142
3941,377,77,5082,104,4062,1194,138
3968,378,77,5024,106,4100,1207,139
4013,375,77,5005,104,4113,1208,141
3933,368,77,5011,104,4119,1218,144
4054,377,76,5004,107,4020,1204,139
3964,379,77,5058,106,4131,1197,140
4025,374,77,5057,104,4113,1182,139
4043,377,76,5031,107,4068,1211,143
3988,376,76,5029,104,4081,1211,142
4002,373,77,5062,105,4054,1192,139
3966,372,80,5040,105,4123,1213,141
4020,373,77,5054,105,4131,1199,139
4041,375,77,5041,106,4115,1199,143
3978,372,76,5050,108,4073,1207,142
4022,377,77,5001,105,4069,1209,142
4040,375,77,5032,105,4101,1205,143
4021,373,77,5027,105,4123,1178,143
