C1-S1-D1,C1-S1-D2,C1-S2-D1,C1-S2-D2,C2-S1-D1,C2-S1-D2,C2-S2-D1,C2-S2-D2
47.75,29.05,63.34,64.8,72.19,50.91,56.39,53.21
47.95,31.2,62.52,62.44,72.93,50.23,55.59,55.01
48.41,28.45,62.37,63.71,72.89,51.29,56.31,52.8
47.18,30.94,62.1,62.36,72.58,53.53,56.17,56.03
45.83,30.88,62.28,64.12,74.08,50.29,56.22,52.88
47.97,29.42,61.34,64.55,73.27,51.72,55.94,52.87
47.28,31.41,63.13,63.23,75.52,50.69,57.07,54.94
48.82,31.3,63.28,64.98,74.98,52.47,56.44,52.91
46.91,30.01,62.87,63.66,70.77,50.47,56.76,51.77
45.99,28.76,62.64,63.52,72.46,50.85,53.26,52.91
47.09,30.57,62.04,64.13,71.98,50.12,53.53,53.71
47,31.92,62.74,64.34,74.09,50.06,55.7,52.38
47.52,30.23,62.09,62.77,70.95,52.16,53.83,53.34
45.68,29.3,62.72,62.67,73.64,50,55.42,53.98
47.16,32.06,62.14,62.39,73.47,50.82,53.41,52.6
48.45,28.87,62.95,63.33,74.43,53.53,57.06,52.87
47.16,29.36,62.28,64.32,72.67,51.72,53.12,53.45
46.93,29.62,63.18,63.53,72.75,51.25,54.02,54.53
48.17,29.91,62.17,62.82,76.18,49.44,60.65,53.97
47.05,29.96,61.58,65.26,72.39,52.03,54.35,54.05
49.58,29,61.93,62.6,71.08,50.92,56.39,52.14
48.69,28.89,61.32,62.67,73.22,52,56.88,54.76
48.83,29.45,61.19,65.05,74.28,52.86,55.95,51.48
47.35,33.17,62.69,63.18,71.16,52.33,56.32,51.62
46.57,32.06,63.33,61.87,74.69,50.33,53.16,52.26
47.1,31.15,62.6,62.33,73.58,51.58,54.75,53.4
48.2,31.1,62.32,64.4,72.85,52.34,54.61,52.53
46.66,32.13,61.92,62.25,72.29,51.49,55.32,53.62
48.03,29.75,62.34,62.8,72.45,52.66,56.77,52.41
48.54,31.97,62.77,62.26,73.65,51.69,55.39,53.06
46.49,28.93,62.85,63.5,72.41,49.57,54.01,53.06
49.14,29.82,62.47,64.46,74.38,49.72,56.36,53.65
46.3,33.14,61.57,62.83,71.12,50.59,54.72,52.87
47.08,28.31,61.64,63.27,72.33,51.34,55.6,52.1
47.83,32.22,62.78,64.01,73.02,50.76,56.06,53.44
47.9,32.02,62.83,64.81,72.39,52.13,56.57,54.17
47.32,32.1,63.12,64.47,72.37,51.7,56.76,54.54
46.44,33.13,62.25,63.12,72.79,49.74,54.62,53.36
47.47,27.97,61.54,62.03,73.47,52.47,56.15,54.13
47.49,31.48,62.5,62.2,73.7,53.07,55.54,50.61
48.83,33.58,63.16,62.16,73,51.75,57.38,51.1
48.22,33.14,63.08,62.96,72.11,52.62,56.25,52.37
46.94,30.58,62.87,64.27,73.49,53.33,54.27,51.98
45.97,31.67,62.02,64.92,72.94,50.92,56.7,53.11
48.48,28.44,62.35,62.05,72.39,51.86,54.48,53.68
49.13,30.08,62.57,63.23,72.68,53.6,54.82,54.7
47.68,29.77,62.6,62.09,72.88,53.41,55.28,53.41
46.19,33.99,63.08,64.4,72.2,52.53,55.52,53.82
49.24,30.65,62.43,62.7,72.74,52.7,57.08,55.48
47.59,30.87,63.22,63.51,73.23,52,56.28,55.84
47.58,29.94,63.12,62.31,72.4,53.05,56.57,53.63
46.33,29.69,61.89,63.21,73.93,49.32,55.38,54.36
46.07,29.85,63.44,63.9,75.61,51.19,54.17,53.11
48.04,30.38,61.96,62.09,72.36,52.33,57,52.3
46.94,30.82,61.94,63.58,73.22,49.97,57.06,55.14
48.32,31.07,62.29,62.23,73.13,50.77,56.77,53.06
49.25,33.29,61.66,62.26,72.18,50.1,55.26,53.36
47.28,31.15,62.84,63.88,73.56,50.74,55.73,53.4
49.04,31.6,62.33,62.32,72.83,51.37,56.89,51.52
47.79,31.6,62.87,62.57,75.08,50.44,55.37,52.95
48.42,29.18,63.1,62.65,71.2,51.47,55.43,53.75
49.94,29.47,62.87,65.19,74.33,53.44,55.23,54.42
46.35,31.11,62.16,62.18,72.76,52.1,57.03,54.39
46.51,29.62,61.37,64.03,74.01,52.31,52.49,52.38
38.68,31.55,63.58,64.42,72.27,52.55,57.32,53.13
45.88,33.5,63.15,62.36,70.93,51.71,53.74,54.83
49.29,30.89,62.5,63.97,71.1,53.41,55.83,53.56
49.38,29.41,62.3,63.37,72.72,50.79,56.76,52.11
47,29.85,61.61,62.84,73.57,52.16,56.61,52.18
49.02,29.67,61.68,64.51,73.9,52.68,54.53,53.25
47.48,31.26,62.12,63.95,72.42,52.63,53.64,54.11
48.82,31.83,61.56,64.36,74.97,52.94,56.83,53.59
47,30.46,61.68,62.09,72.17,51.45,56.97,53.47
48.87,33.06,62.32,64.87,73.59,50.28,54.6,53.21
48.56,29.02,62.82,62.64,73.3,51.52,55.82,51.75
49.53,31.64,61.43,63.55,74.43,49.1,54.88,54.07
49.5,28.69,60.94,63.87,72.97,50.29,57.16,55.73
48.22,30.53,62.34,63.98,74.42,53.6,56.85,53.89
